DATABASE	FORMULA	CHARGE
cpd00001_c0	H2O	0
cpd00002_c0	C10H13N5O13P3	-3
cpd00003_c0	C21H26N7O14P2	-1
cpd00004_c0	C21H27N7O14P2	-2
cpd00005_c0	C21H27N7O17P3	-3
cpd00006_c0	C21H26N7O17P3	-2
cpd00007_c0	O2	0
cpd00008_c0	C10H13N5O10P2	-2
cpd00009_c0	HO4P	-2
cpd00010_c0	C21H33N7O16P3S	-3
cpd00011_c0	CO2	0
cpd00012_c0	H2O7P2	-2
cpd00013_c0	H4N	1
cpd00014_c0	C9H12N2O12P2	-2
cpd00015_c0	C27H31N9O15P2	-2
cpd00016_c0	C8H9NO6P	-1
cpd00017_c0	C15H23N6O5S	1
cpd00018_c0	C10H13N5O7P	-1
cpd00019_c0	C14H20N6O5S	0
cpd00020_c0	C3H3O3	-1
cpd00021_c0	Fe	0
cpd00022_c0	C23H35N7O17P3S	-3
cpd00023_c0	C5H8NO4	-1
cpd00024_c0	C5H4O5	-2
cpd00025_c0	H2O2	0
cpd00026_c0	C15H22N2O17P2	-2
cpd00027_c0	C6H12O6	0
cpd00028_c0	C34H30FeN4O4	-2
cpd00029_c0	C2H3O2	-1
cpd00030_c0	Mn	2
cpd00031_c0	C10H13N5O11P2	-2
cpd00032_c0	C4H2O5	-2
cpd00033_c0	C2H5NO2	0
cpd00034_c0	Zn	2
cpd00035_c0	C3H7NO2	0
cpd00036_c0	C4H4O4	-2
cpd00037_c0	C17H25N3O17P2	-2
cpd00038_c0	C10H13N5O14P3	-3
cpd00039_c0	C6H15N2O2	1
cpd00040_c0	C2HO3	-1
cpd00041_c0	C4H6NO4	-1
cpd00042_c0	C10H16N3O6S	-1
cpd00043_c0	C15H22N2O17P2	-2
cpd00044_c0	C10H12N5O13P2S	-3
cpd00045_c0	C10H13N5O10P2	-2
cpd00046_c0	C9H13N3O8P	-1
cpd00047_c0	CHO2	-1
cpd00048_c0	O4S	-2
cpd00049_c0	CO2R	-1
cpd00050_c0	C17H20N4O9P	-1
